Text,Emotion
"If I delete your number, you’re basically deleted from my life.",Angry
Sometimes I’m just not in the mood to talk.,Angry
"Anger is never without a reason, but seldom with a good one.",Angry
"Anger is not bad. Anger can be a very positive thing, the thing that moves us beyond the acceptance of evil.",Angry
I will not delete you or block you. I am keeping you there so you will be able to see how happy I’m without you.,Angry
"I may look calm, but in my head I’ve killed you about 5 times.",Angry
Some people need to open their small minds instead of their big mouths.,Angry
Anger is fear in disguise.,Angry
Anger is temporary madness.,Angry
"Anger is a great force. If you control it, it can be transmuted into a power which can move the whole world",Angry
"Don’t try to please other people if in the end, you know it wont work.",Angry
"Everything is getting expensive except some people, they are getting cheaper.",Angry
"If you’re going to talk about be behind my back, don’t smile at me to my face!",Angry
"People change, things go wrong, shit happens, but life goes on.",Angry
"Just because I’m being quiet, that doesn’t mean I’m mad.",Angry
"Nobody makes you angry, you decide to use anger as a response.",Angry
"Never forget what someone says to you when they are angry, because that’s when the truth comes out.",Angry
It sucks when you realize you rejected other people for that one person who wasted your time.,Angry
Some people never realize the emotional and mental damage they do to others.,Angry
My silence doesn’t mean that I quit… It simply means that I don’t want to argue with people who just don’t want to understand.,Angry
Never make yourself feel like nothing to make someone else feel like everything.,Angry
I will not delete you or block you. I am keeping you there so you will be able to see how happy I’m without you,Angry
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart…",Angry
"If you’re going to talk about me behind my back, don’t smile at me to my face!",Angry
Sometimes one middle finger isn’t enough to let someone know how you feel. That’s why you have two hands.,Angry
Anger is an acid that can do more harm to the vessel in which it is stored than to anything on which it is poured.,Angry
"Sometimes I’m not angry, I’m hurt and there’s a big difference",Angry
Definition of EX: Thanks for the experience. Our time has expired. Now exit my life.,Angry
Never regret something that once made you smile.,Angry
Anger blows out the lamp of the mind.,Angry
Anger dwells only in the bosom of fools.,Angry
"Anger as soon as fed is dead, Its starving makes it fat.",Angry
"Don’t be so happy, I don’t really forgive people, I just pretend like it’s OK and wait for my turn to destroy them.",Angry
"Never forget what someone says to you when they are angry, because that’s when the truth comes out.",Angry
"For every minute you remain angry, you give up sixty seconds of peace of mind.",Angry
"A person who has lots of anger inside, definitely loves people more than anyone else can. because if red color indicates anger then it indicates love too.",Angry
My silence doesn’t mean that I quit. It simply means that I don’t want to argue with people who just don’t want to understand!,Angry
You have a problem with me. I’m pretty sure a status on Facebook won’t fix it.,Angry
sometimes hearing the music is just the best way to ignore the world.,Angry
Don’t chat with me just when you’re bored. Bitch please! My name is not Adam Lambert. I’m not here for your entertainment.,Angry
"By God, there’s a lot to make you angry.",Angry
Some people will pretend to care just so they can get a better seat to watch your struggle. Every helping hand is not always there to help.,Angry
"When you are angry, your text speed increases by a ridiculous amount.",Angry
"Beware, I’m not in my greatest mood today.",Angry
There are no words to describe the anger and frustration that I am feeling right now.,Angry
Anger is a feeling that makes your mouth work faster than your mind.,Angry
Only Two People will tell you the truth about yourself : someone who is angry with you and someone who loves you.,Angry
"Anger is our natural defense against pain. So when I say, I hate you – it really means you hurt me.",Angry
"It’s better to cry than to be angry because anger hurts others, while tears flow silently through the soul and cleanness the heart.",Angry
"Feelings are much like waves, we can’t stop them from coming but we can choose which ones to surf.",Angry
"If you want to hear the whole truth about yourself, make your neighbor angry.",Angry
Anger is only one letter short of Danger.,Angry
For every minute you are angry. You lose sixty seconds of happiness. Think about It.,Angry
"No matter how long you know someone, they eventually show their true colors.",Angry
May I kill you in the morning?,Angry
Is getting close to just walking away?,Angry
"Anger makes you smaller, while forgiveness forces you to grow beyond what you were",Angry
To be angry is to let others mistakes punish yourself. To forgive others is to be good to yourself.,Angry
"When I truly care for someone, their mistakes never change my feelings because its mind that gets angry but heart sill cares.",Angry
Telling someone to calm down just makes them so much more angry.,Angry
"Your mistake is letting me go, my mistake was letting you in.",Angry
Did you ever just want to slap the stupid out of someone?,Angry
"Is singing, if you’re angry & you know it punch their face.",Angry
"If you are patient in one moment of anger, you will escape a hundred days of sorrow.",Angry
Don’t make so many promises when you can’t even keep one.,Angry
"Bitch, I will punch you by accident on purposea",Angry
"Fool me once shame on you, fool me twice shame on me, try it again and ill kick ya teeth down ya fuckin throat!!",Angry
I've been told I've got A.D.H.D!! (Attracting Dick Heads Disorder!),Angry
