Text,Emotion
"If I delete your number, you’re basically deleted from my life.",Angry
A sad soul can kill quicker than a poison.,Sadness
I'm not afraid of death; I just don't want to be there when it happens,Fear
Sometimes I’m just not in the mood to talk.,Angry
"If you are ashamed of your stupidity, you may be very wise.",Shame
"I have neither curiosity, interest, pain nor pleasure, in anything, good or evil, they can say of me. I feel only a slight disgust, and a sort of wonder that they presume to write my name.",Disgust
Do one thing every day that scares you,Fear
"I act like I don’t care, but deep inside, it hurts",Sadness
"If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse and you say that you are neutral, the mouse will not appreciate your neutrality.",Neutral
"Anger is never without a reason, but seldom with a good one.",Angry
"204 countries, 805 Islands, 7 seas, 7+ Billion people and I’m lonely!",Sadness
"Anger is not bad. Anger can be a very positive thing, the thing that moves us beyond the acceptance of evil.",Angry
The secret to humor is surprise.,Surprise
There is only one thing that makes a dream impossible to achieve: the fear of failure,Fear
"I only wanted you to love me. I needed you to give me a try, not to hurt me so bad and make me cry.",Sadness
I will not delete you or block you. I am keeping you there so you will be able to see how happy I’m without you.,Angry
Disgust influences trust.,Disgust
"I may look calm, but in my head I’ve killed you about 5 times.",Angry
One should never conceal their path to the field from their source.,Shame
"Bran thought about it. 'Can a man still be brave if he's afraid?' 'That is the only time a man can be brave,' his father told him.",Fear
You know it hurts me but you do it anyway.,Sadness
Do your little bit of good where you are; it's those little bits of good put together that overwhelm the world.,Neutral
Some people need to open their small minds instead of their big mouths.,Angry
"There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.",Fear
Anger is fear in disguise.,Angry
For the instinct of imitation and absence of courage govern society and the mob alike.,Shame
But they all didn’t see the little bit of sadness in me.,Sadness
Fear doesn't shut you down; it wakes you up,Fear
Anger is temporary madness.,Angry
Grace is the only thing in the world that is stronger than shame.,Shame
A million words wouldn’t bring you back. I know because I tried. Neither would a million tears bring you to your Senses. I know because I’ve cried.,Sadness
It's great to be a blonde. With low expectations it's very easy to surprise people.,Surprise
"Anger is a great force. If you control it, it can be transmuted into a power which can move the whole world",Angry
Fear cuts deeper than swords.,Fear
Do you know what’s sad? It is when you have no one but your pillow to lay your head on when you cry.,Sadness
